alpha,1 Target,2 Targets,3 Targets,4 Targets,5 Targets
30,1.876455170324768e-09,1.069340675516629e-07,1.27476777697262e-06,4.699855549888993e-06,6.774304935107516e-06
31,1.876451637046587e-09,9.028575746578189e-08,7.05853475840166e-07,2.508831810328272e-06,5.022786292856608e-06
32,1.8764516366428485e-09,9.02857532294219e-08,5.147125799236937e-07,1.7705519448165696e-06,4.44192949187656e-06
33,8.642751577387903e-10,6.524040942851391e-08,4.560499824130939e-07,1.505980583014344e-06,4.441927036281791e-06
34,8.64275157578513e-10,6.524040678062543e-08,4.5604991827727785e-07,1.5059802222605517e-06,2.8642150347434274e-06
35,8.642749615120986e-10,5.64151540476823e-08,4.101068910651467e-07,1.0207866102892596e-06,1.6912026508204678e-06
36,7.823379286286276e-10,4.4146991646761945e-08,4.1010670768755907e-07,6.667815674715885e-07,1.341990103354954e-06
37,5.088336983272927e-10,3.3747111224690183e-08,3.8440532898244374e-07,6.396481462279812e-07,1.3419894252660286e-06
38,5.088336982355116e-10,3.374711101494012e-08,3.8440501947360807e-07,6.396479170963926e-07,1.280283055161479e-06
39,5.088330193745637e-10,3.0484321257640466e-08,2.9227620412562787e-07,4.884963176078267e-07,1.2802828522378745e-06
40,1.0965257521425808e-10,1.834648242603702e-08,2.4331911884859785e-07,4.884954294301187e-07,1.2331293512186336e-06
41,1.0965257520685586e-10,8.775918566294727e-09,6.773722606127544e-08,3.858385168064193e-07,8.621542659932591e-07
42,1.096521654448979e-10,8.775917266521465e-09,6.773716950512505e-08,3.52285506514447e-07,8.553966298809374e-07
43,1.0965216540869382e-10,4.630763801864627e-09,3.4176034134474096e-08,3.5228509382317116e-07,7.937459228361507e-07
44,1.0965202539282961e-10,4.6307350768495566e-09,2.3723263467620044e-08,1.158337955641857e-07,7.937441737591568e-07
45,6.747331430108781e-11,3.3195913538090316e-09,2.372318682190684e-08,1.0460687318331379e-07,5.895510734757228e-07
46,6.7473314246862e-11,1.6695797262298836e-09,1.793751238881569e-08,1.0460675301698023e-07,5.895503916998786e-07
47,6.745045430679316e-11,1.5674874317835954e-09,1.778944730830356e-08,8.689017606740457e-08,3.9220903190908e-07
48,1.664858075913039e-11,1.5674856845993028e-09,1.7789439188595997e-08,8.689015426784891e-08,2.5185904566242546e-07
49,1.6648411212127944e-11,1.4817446944109866e-09,9.87903476023668e-09,6.477777071211759e-08,2.468683112296382e-07
50,1.6648411203172615e-11,7.667882943956e-10,6.317722099158309e-09,4.673912550084181e-08,2.2258920928398339e-07
